player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0039911,526,354,172,51,15,0.1440677966101695,0.0872093023255814,Chop Robinson,LB,MIA
00-0033952,657,306,351,44,35,0.1437908496732026,0.09971509971509972,Grover Stewart,DL,IND
00-0039018,975,595,380,85,35,0.14285714285714285,0.09210526315789473,Jack Campbell,LB,DET
00-0033093,555,261,294,37,32,0.1417624521072797,0.10884353741496598,Jonathan Bullard,DL,NO
00-0039908,468,226,242,32,19,0.1415929203539823,0.07851239669421488,Kris Jenkins,DL,CIN
00-0037074,760,445,315,63,28,0.14157303370786517,0.08888888888888889,Quay Walker,LB,GB
00-0031040,624,375,249,53,12,0.14133333333333334,0.04819277108433735,Khalil Mack,LB,LAC
00-0037083,510,298,212,42,26,0.14093959731543623,0.12264150943396226,Kingsley Enagbare,DL,GB
00-0032667,368,206,162,29,14,0.1407766990291262,0.08641975308641975,Roy Robertson-Harris,DL,NYG
00-0036321,692,441,251,62,14,0.14058956916099774,0.055776892430278883,Chase Young,LB,NO
00-0034782,665,350,315,49,35,0.14,0.1111111111111111,Harrison Phillips,DL,NYJ
00-0035674,459,236,223,33,24,0.13983050847457626,0.10762331838565023,Jerry Tillery,DL,KC
00-0039137,879,510,369,71,28,0.1392156862745098,0.07588075880758807,Byron Young,LB,LA
00-0036927,686,375,311,52,21,0.13866666666666666,0.06752411575562701,Pete Werner,LB,NO
00-0034828,832,440,392,61,44,0.13863636363636364,0.11224489795918367,Harold Landry III,LB,NE
00-0033875,366,231,135,32,14,0.13852813852813853,0.1037037037037037,Haason Reddick,LB,TB
00-0034797,542,289,253,40,20,0.1384083044982699,0.07905138339920949,Jerome Baker,LB,CLE
00-0038557,646,340,306,47,38,0.13823529411764707,0.12418300653594772,Dorian Williams,LB,BUF
00-0039013,720,427,293,59,27,0.13817330210772832,0.09215017064846416,Nolan Smith,LB,PHI
00-0039054,470,239,231,33,13,0.13807531380753138,0.05627705627705628,Marte Mapu,LB,NE
00-0034431,1099,581,518,80,45,0.13769363166953527,0.08687258687258688,Zaire Franklin,LB,IND
00-0037075,345,233,112,32,9,0.13733905579399142,0.08035714285714286,Devonte Wyatt,DL,GB
00-0036081,455,263,192,36,16,0.13688212927756654,0.08333333333333333,Broderick Washington,DL,BAL
00-0034987,958,505,453,69,41,0.13663366336633664,0.09050772626931568,E.J. Speed,LB,HOU
00-0033051,538,279,259,38,18,0.13620071684587814,0.0694980694980695,David Onyemata,DL,ATL
00-0034375,968,554,414,75,41,0.13537906137184116,0.09903381642512077,Kyzir White,LB,TEN
00-0034834,496,244,252,33,11,0.13524590163934427,0.04365079365079365,Sam Hubbard,DL,CIN
00-0034720,1012,586,426,79,45,0.1348122866894198,0.1056338028169014,Robert Spillane,LB,NE
00-0034815,952,520,432,70,30,0.1346153846153846,0.06944444444444445,Fred Warner,LB,SF
00-0038107,579,290,289,39,32,0.13448275862068965,0.11072664359861592,Micheal Clemons,DL,NYJ
00-0036286,473,305,168,41,13,0.13442622950819672,0.07738095238095238,K'Lavon Chaisson,LB,NE
00-0031795,317,201,116,27,10,0.13432835820895522,0.08620689655172414,DeShawn Williams,DL,CAR
00-0039309,425,216,209,29,15,0.13425925925925927,0.07177033492822966,Byron Murphy II,DL,SEA
